Person ID,Deposition ID,Surname,Forename,Age,Person Type,Gender,Nationality,Religion,Occupation
59,815256r332,"Roaden","William",0,"Deponent","Male","Unknown","Unknown","Yeoman"
60,815256r332,"Jacob","Walter",0,"Unknown","Male","Unknown","Unknown","Unknown"
61,815256r332,"Cozbie","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
62,815256r332,"fitzGarralld","William",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
63,819079r103,"Row","Ursula",62,"Deponent","Female","Unknown","Unknown","Wife"
64,819079r103,"Browne","William",0,"Confederate","Male","Unknown","Unknown","Esquire"
65,819079r103,"Realy","Barnaby",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
66,819079r103,"Hore","Dauid",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
67,819079r103,"Roricke","John",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
68,819079r103,"Browne","Richard",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
69,819079r103,"Roch","Lord",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
70,819079r103,"Browne","walter",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
71,819079r103,"Browne","Margaret",0,"Confederate","Unknown","Unknown","Unknown","Wife"
72,819079r103,"Esmond","Lord",0,"Mentioned","Male","Unknown","Unknown","Unknown"
73,819079r103,"Row","Nicholas",0,"Victim","Male","Unknown","Unknown","Unknown"
75,815257r333,"Sanders","William",0,"Deponent","Male","Unknown","Unknown","Unknown"
76,819081r104,"Browne","Robert",30,"Deponent","Male","Unknown","Unknown","Yeoman"
77,815257r333,"Esmond","Florance",0,"Unknown","Male","Unknown","Unknown","Esquire"
78,815257r333,"O Dowlin","Thomas",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
79,815257r333,"Roan","Morris",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
80,815257r333,"Hore","Patrick",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
81,819081r104,"Browne","Dauid",0,"Confederate","Male","Unknown","Unknown","Gentleman"
82,819081r104,"Browne","Vallentyne",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
83,819081r104,"Cauanagh","Captain",0,"Confederate","Unknown","Unknown","Unknown","Unknown"
84,819081r104,"Giffard","James",0,"Witness","Male","Unknown","Unknown","Unknown"
85,819081r104,"Row","Nicholas",0,"Mentioned","Male","Unknown","Unknown","Unknown"
86,815258r334,"Sandford","Elizabeth",0,"Deponent","Female","Unknown","Unknown","Unknown"
87,815258r334,"Fitzpattrick","Florence",0,"Unknown","Male","Unknown","Unknown","Unknown"
88,819082r105,"o Murrow","John",58,"Deponent","Male","Unknown","Unknown","Yeoman"
89,819082r105,"Browne","Dauid",0,"Unknown","Male","Unknown","Unknown","Gentleman"
90,819082r105,"Browne","Vallentyne",0,"Unknown","Unknown","Unknown","Unknown","Unknown"
